Species,Reference Genome,Challenge,Publication,BioProject,BioSample,Experiment,Run,SRA_Sample,donor_identifier,source_name,treatment,cell_type,time_point,sex,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163676,SRX185645,SRR566232,SRS361828,3,"macrophages, WNV",West Nile virus (WNV),monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163677,SRX185646,SRR566233,SRS361829,4,"macrophages, mock",mock,monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163677,SRX185646,SRR566234,SRS361829,4,"macrophages, mock",mock,monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163678,SRX185647,SRR566235,SRS361830,4,"macrophages, WNV",West Nile virus (WNV),monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163678,SRX185647,SRR566236,SRS361830,4,"macrophages, WNV",West Nile virus (WNV),monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163679,SRX185648,SRR566237,SRS361831,5,"macrophages, mock",mock,monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163679,SRX185648,SRR566238,SRS361831,5,"macrophages, mock",mock,monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163680,SRX185649,SRR566239,SRS361832,5,"macrophages, WNV",West Nile virus (WNV),monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163680,SRX185649,SRR566240,SRS361832,5,"macrophages, WNV",West Nile virus (WNV),monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163681,SRX185650,SRR566241,SRS361833,6,"macrophages, mock",mock,monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163681,SRX185650,SRR566242,SRS361833,6,"macrophages, mock",mock,monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163682,SRX185651,SRR566243,SRS361834,6,"macrophages, WNV",West Nile virus (WNV),monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163682,SRX185651,SRR566244,SRS361834,6,"macrophages, WNV",West Nile virus (WNV),monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163683,SRX185652,SRR566245,SRS361835,7,"macrophages, mock",mock,monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163683,SRX185652,SRR566246,SRS361835,7,"macrophages, mock",mock,monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163684,SRX185653,SRR566247,SRS361836,7,"macrophages, WNV",West Nile virus (WNV),monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163684,SRX185653,SRR566248,SRS361836,7,"macrophages, WNV",West Nile virus (WNV),monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163685,SRX185654,SRR566249,SRS361837,8,"macrophages, mock",mock,monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163685,SRX185654,SRR566250,SRS361837,8,"macrophages, mock",mock,monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163686,SRX185655,SRR566251,SRS361838,8,"macrophages, WNV",West Nile virus (WNV),monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163686,SRX185655,SRR566252,SRS361838,8,"macrophages, WNV",West Nile virus (WNV),monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163687,SRX185656,SRR566253,SRS361839,9,"macrophages, mock",mock,monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163687,SRX185656,SRR566254,SRS361839,9,"macrophages, mock",mock,monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163688,SRX185657,SRR566255,SRS361840,9,"macrophages, WNV",West Nile virus (WNV),monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163688,SRX185657,SRR566256,SRS361840,9,"macrophages, WNV",West Nile virus (WNV),monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163689,SRX185658,SRR566257,SRS361841,10,"macrophages, mock",mock,monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163689,SRX185658,SRR566258,SRS361841,10,"macrophages, mock",mock,monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163690,SRX185659,SRR566259,SRS361842,10,"macrophages, WNV",West Nile virus (WNV),monocyte-derived macrophages,,,,,,
Homo sapiens,Homo_sapiens,West Nile Virus,http://www.mdpi.com/1999-4915/5/7/1664/htm,PRJNA174747,SAMN01163690,SRX185659,SRR566260,SRS361842,10,"macrophages, WNV",West Nile virus (WNV),monocyte-derived macrophages,,,,,,
Mustela putorius furo,Mustela_putorius_furo,Henipavirus,http://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006343,PRJNA289121,SAMN03842182,SRX1084490,SRR2089935,SRS980611,001_F1,lung control F1,mock,lung,0,female,,,,
Mustela putorius furo,Mustela_putorius_furo,Henipavirus,http://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006344,PRJNA289121,SAMN03842183,SRX1085146,SRR2089937,SRS981237,002_F2,lung control F2,mock,lung,0,female,,,,
Mustela putorius furo,Mustela_putorius_furo,Henipavirus,http://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006345,PRJNA289121,SAMN03842184,SRX1085147,SRR2089942,SRS981239,003_F3,lung control F3,mock,lung,0,female,,,,
Mustela putorius furo,Mustela_putorius_furo,Henipavirus,http://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006346,PRJNA289121,SAMN03842185,SRX1085148,SRR2089943,SRS981240,001_F6,lung HeV day3 F6,HeV,lung,3,female,,,,
Mustela putorius furo,Mustela_putorius_furo,Henipavirus,http://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006347,PRJNA289121,SAMN03842186,SRX1085149,SRR2089945,SRS981241,002_F7,lung HeV day3 F7,HeV,lung,3,female,,,,
Mustela putorius furo,Mustela_putorius_furo,Henipavirus,http://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006348,PRJNA289121,SAMN03842187,SRX1085150,SRR2089947,SRS981242,003_F8,lung HeV day3 F8,HeV,lung,3,female,,,,
Mustela putorius furo,Mustela_putorius_furo,Henipavirus,http://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006349,PRJNA289121,SAMN03842188,SRX1085151,SRR2089948,SRS981243,001_F11,lung HeV day5 F11,HeV,lung,5,female,,,,
Mustela putorius furo,Mustela_putorius_furo,Henipavirus,http://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006350,PRJNA289121,SAMN03842189,SRX1085152,SRR2089949,SRS981244,002_F12,lung HeV day5 F12,HeV,lung,5,female,,,,
Mustela putorius furo,Mustela_putorius_furo,Henipavirus,http://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006351,PRJNA289121,SAMN03842190,SRX1085153,SRR2089952,SRS981245,003_F13,lung HeV day5 F13,HeV,lung,5,female,,,,
Mustela putorius furo,Mustela_putorius_furo,Henipavirus,http://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006352,PRJNA289121,SAMN03842191,SRX1085154,SRR2089953,SRS981246,001_F7,lung NiV-B day3 F7,NiV-B,lung,3,female,,,,
Mustela putorius furo,Mustela_putorius_furo,Henipavirus,http://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006353,PRJNA289121,SAMN03842192,SRX1085155,SRR2089954,SRS981247,002_F8,lung NiV-B day3 F8,NiV-B,lung,3,female,,,,
Mustela putorius furo,Mustela_putorius_furo,Henipavirus,http://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006354,PRJNA289121,SAMN03842193,SRX1085186,SRR2089991,SRS981262,003_F9,lung NiV-B day3 F9,NiV-B,lung,3,female,,,,
Mustela putorius furo,Mustela_putorius_furo,Henipavirus,http://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006355,PRJNA289121,SAMN03842194,SRX1085200,SRR2090005,SRS981263,001_F7,lung NiV-B day5 F13,NiV-B,lung,5,female,,,,
Mustela putorius furo,Mustela_putorius_furo,Henipavirus,http://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006356,PRJNA289121,SAMN03842195,SRX1085201,SRR2090055,SRS981274,002_F8,lung NiV-B day5 F14,NiV-B,lung,5,female,,,,
Mustela putorius furo,Mustela_putorius_furo,Henipavirus,http://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006357,PRJNA289121,SAMN03842196,SRX1085251,SRR2090056,SRS981275,003_F9,lung NiV-B day5 F15,NiV-B,lung,5,female,,,,
Mustela putorius furo,Mustela_putorius_furo,Henipavirus,http://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006358,PRJNA289121,SAMN03842197,SRX1085329,SRR2090134,SRS981296,001_F1,brain control F1,mock,brain,0,female,,,,
Mustela putorius furo,Mustela_putorius_furo,Henipavirus,http://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006359,PRJNA289121,SAMN03842198,SRX1085330,SRR2090135,SRS981336,002_F2,brain control F2,mock,brain,0,female,,,,
Mustela putorius furo,Mustela_putorius_furo,Henipavirus,http://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006360,PRJNA289121,SAMN03842199,SRX1085331,SRR2090136,SRS981337,003_F6,brain HeV day3 F6,HeV,brain,3,female,,,,
Mustela putorius furo,Mustela_putorius_furo,Henipavirus,http://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006361,PRJNA289121,SAMN03842200,SRX1085333,SRR2090137,SRS981338,001_F7,brain HeV day3 F7,HeV,brain,3,female,,,,
Mustela putorius furo,Mustela_putorius_furo,Henipavirus,http://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006362,PRJNA289121,SAMN03842201,SRX1085334,SRR2090138,SRS981340,002_F8,brain HeV day3 F8,HeV,brain,5,female,,,,
Mustela putorius furo,Mustela_putorius_furo,Henipavirus,http://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006363,PRJNA289121,SAMN03842202,SRX1085335,SRR2090139,SRS981341,003_F11,brain HeV day5 F11,HeV,brain,5,female,,,,
Mustela putorius furo,Mustela_putorius_furo,Henipavirus,http://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006364,PRJNA289121,SAMN03842203,SRX1085336,SRR2090140,SRS981342,001_F13,brain HeV day5 F13,HeV,brain,5,female,,,,
Mustela putorius furo,Mustela_putorius_furo,Henipavirus,http://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006365,PRJNA289121,SAMN03842204,SRX1085337,SRR2090141,SRS981343,002_F6,brain NiV-B day3 F6,NiV-B,brain,3,female,,,,
Mustela putorius furo,Mustela_putorius_furo,Henipavirus,http://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006366,PRJNA289121,SAMN03842205,SRX1085338,SRR2090142,SRS981344,003_F7,brain NiV-B day3 F7,NiV-B,brain,3,female,,,,
Mustela putorius furo,Mustela_putorius_furo,Henipavirus,http://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006367,PRJNA289121,SAMN03842206,SRX1085341,SRR2090143,SRS981348,001_F8,brain NiV-B day3 F8,NiV-B,brain,3,female,,,,
Mustela putorius furo,Mustela_putorius_furo,Henipavirus,http://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006368,PRJNA289121,SAMN03842207,SRX1085343,SRR2090144,SRS981349,002_F11,brain NiV-B day5 F11,NiV-B,brain,5,female,,,,
Mustela putorius furo,Mustela_putorius_furo,Henipavirus,http://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006369,PRJNA289121,SAMN03842208,SRX1085344,SRR2090146,SRS981350,003_F12,brain NiV-B day5 F12,NiV-B,brain,5,female,,,,
Mustela putorius furo,Mustela_putorius_furo,Henipavirus,http://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006370,PRJNA289121,SAMN03842209,SRX1085345,SRR2090148,SRS981351,001_F13,brain NiV-B day5 F13,NiV-B,brain,5,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402874,SRX377764,SRR1030053,SRS502568,129S1,GSM1265479,MA15,lung,D2,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402872,SRX377765,SRR1030054,SRS502569,129S1,GSM1265480,MA15,lung,D2,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402869,SRX377766,SRR1030055,SRS502570,129S1,GSM1265481,MA15,lung,D2,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402869,SRX377766,SRR1030056,SRS502570,129S1,GSM1265481,MA15,lung,D2,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402881,SRX377780,SRR1030071,SRS502583,AJ,GSM1265495,MA15,lung,D2,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402881,SRX377780,SRR1030072,SRS502583,AJ,GSM1265495,MA15,lung,D2,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402881,SRX377780,SRR1030073,SRS502583,AJ,GSM1265495,MA15,lung,D2,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402882,SRX377781,SRR1030074,SRS502585,AJ,GSM1265496,MA15,lung,D2,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402882,SRX377781,SRR1030075,SRS502585,AJ,GSM1265496,MA15,lung,D2,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402882,SRX377781,SRR1030076,SRS502585,AJ,GSM1265496,MA15,lung,D2,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402894,SRX377795,SRR1030102,SRS502599,C57BL6J,GSM1265510,MA15,lung,D2,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402894,SRX377795,SRR1030103,SRS502599,C57BL6J,GSM1265510,MA15,lung,D2,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402956,SRX377796,SRR1030104,SRS502600,C57BL6J,GSM1265511,MA15,lung,D2,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402942,SRX377797,SRR1030105,SRS502601,C57BL6J,GSM1265512,MA15,lung,D2,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402942,SRX377797,SRR1030106,SRS502601,C57BL6J,GSM1265512,MA15,lung,D2,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402954,SRX377811,SRR1030130,SRS502615,CAST,GSM1265526,MA15,lung,D2,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402954,SRX377811,SRR1030131,SRS502615,CAST,GSM1265526,MA15,lung,D2,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402957,SRX377813,SRR1030134,SRS502616,CAST,GSM1265528,MA15,lung,D2,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402977,SRX377812,SRR1030132,SRS502617,CAST,GSM1265527,MA15,lung,D2,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402977,SRX377812,SRR1030133,SRS502617,CAST,GSM1265527,MA15,lung,D2,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402899,SRX377826,SRR1030154,SRS502630,NOD,GSM1265541,MA15,lung,D2,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402902,SRX377827,SRR1030155,SRS502631,NOD,GSM1265542,MA15,lung,D2,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402900,SRX377828,SRR1030156,SRS502632,NOD,GSM1265543,MA15,lung,D2,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402910,SRX377842,SRR1030171,SRS502645,NZO,GSM1265557,MA15,lung,D2,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402921,SRX377843,SRR1030172,SRS502647,NZO,GSM1265558,MA15,lung,D2,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402925,SRX377856,SRR1030190,SRS502660,PWK,GSM1265571,MA15,lung,D2,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402925,SRX377856,SRR1030191,SRS502660,PWK,GSM1265571,MA15,lung,D2,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402940,SRX377857,SRR1030192,SRS502661,PWK,GSM1265572,MA15,lung,D2,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402940,SRX377857,SRR1030193,SRS502661,PWK,GSM1265572,MA15,lung,D2,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402928,SRX377858,SRR1030194,SRS502662,PWK,GSM1265573,MA15,lung,D2,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402953,SRX377871,SRR1030216,SRS502675,WSB,GSM1265586,MA15,lung,D2,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402937,SRX377872,SRR1030217,SRS502676,WSB,GSM1265587,MA15,lung,D2,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402937,SRX377872,SRR1030218,SRS502676,WSB,GSM1265587,MA15,lung,D2,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402983,SRX377873,SRR1030219,SRS502677,WSB,GSM1265588,MA15,lung,D2,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402873,SRX377767,SRR1030057,SRS502571,129S1,GSM1265482,MA15,lung,D4,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402868,SRX377768,SRR1030058,SRS502572,129S1,GSM1265483,MA15,lung,D4,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402870,SRX377769,SRR1030059,SRS502573,129S1,GSM1265484,MA15,lung,D4,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402883,SRX377782,SRR1030077,SRS502586,AJ,GSM1265497,MA15,lung,D4,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402883,SRX377782,SRR1030078,SRS502586,AJ,GSM1265497,MA15,lung,D4,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402884,SRX377783,SRR1030079,SRS502587,AJ,GSM1265498,MA15,lung,D4,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402884,SRX377783,SRR1030080,SRS502587,AJ,GSM1265498,MA15,lung,D4,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402888,SRX377784,SRR1030081,SRS502588,AJ,GSM1265499,MA15,lung,D4,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402888,SRX377784,SRR1030082,SRS502588,AJ,GSM1265499,MA15,lung,D4,female,,,,
Mus musculus,Mus_musculus,SARS (MA15),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4132174/,PRJNA227801,SAMN02402958,SRX377798,SRR1030107,SRS502602,C57BL6J,GSM1265513,MA15,lung,D4,female,,,,
